Dirble Scan Report: 
+ http://206.189.121.131:32058/Documents%20and%20Settings (CODE:200|SIZE:90)
+ http://206.189.121.131:32058/Program%20Files (CODE:200|SIZE:81)
+ http://206.189.121.131:32058/general (CODE:0|SIZE:0)
+ http://206.189.121.131:32058/generator (CODE:0|SIZE:0)
+ http://206.189.121.131:32058/generic (CODE:0|SIZE:0)
+ http://206.189.121.131:32058/geo (CODE:0|SIZE:0)
+ http://206.189.121.131:32058/geoip (CODE:0|SIZE:0)
+ http://206.189.121.131:32058/geronimo (CODE:0|SIZE:0)
+ http://206.189.121.131:32058/humans (CODE:0|SIZE:0)
+ http://206.189.121.131:32058/hyper (CODE:0|SIZE:0)
+ http://206.189.121.131:32058/mission (CODE:0|SIZE:0)
+ http://206.189.121.131:32058/mms (CODE:0|SIZE:0)
+ http://206.189.121.131:32058/newattachment (CODE:0|SIZE:0)
+ http://206.189.121.131:32058/newssys (CODE:0|SIZE:0)
+ http://206.189.121.131:32058/null (CODE:0|SIZE:0)
+ http://206.189.121.131:32058/nz (CODE:0|SIZE:0)
+ http://206.189.121.131:32058/oauth (CODE:0|SIZE:0)
+ http://206.189.121.131:32058/ofbiz (CODE:0|SIZE:0)
+ http://206.189.121.131:32058/off (CODE:0|SIZE:0)
+ http://206.189.121.131:32058/offerdetail (CODE:0|SIZE:0)
+ http://206.189.121.131:32058/offices (CODE:0|SIZE:0)
+ http://206.189.121.131:32058/onsite (CODE:0|SIZE:0)
+ http://206.189.121.131:32058/op (CODE:0|SIZE:0)
+ http://206.189.121.131:32058/openads (CODE:0|SIZE:0)
+ http://206.189.121.131:32058/operator (CODE:0|SIZE:0)
+ http://206.189.121.131:32058/opml (CODE:0|SIZE:0)
+ http://206.189.121.131:32058/oscommerce (CODE:0|SIZE:0)
+ http://206.189.121.131:32058/outgoing (CODE:0|SIZE:0)
+ http://206.189.121.131:32058/output (CODE:0|SIZE:0)
+ http://206.189.121.131:32058/oversikt (CODE:0|SIZE:0)
+ http://206.189.121.131:32058/owl (CODE:0|SIZE:0)
+ http://206.189.121.131:32058/ows-bin (CODE:0|SIZE:0)
+ http://206.189.121.131:32058/pg (CODE:0|SIZE:0)
+ http://206.189.121.131:32058/photogallery (CODE:0|SIZE:0)
+ http://206.189.121.131:32058/reports%20list (CODE:200|SIZE:80)
+ http://206.189.121.131:32058/.git/HEAD (CODE:404|SIZE:232)
+ http://206.189.121.131:32058/.svn/entries (CODE:404|SIZE:232)
+ http://206.189.121.131:32058/CVS/Entries (CODE:404|SIZE:232)
+ http://206.189.121.131:32058/CVS/Repository (CODE:404|SIZE:232)
+ http://206.189.121.131:32058/CVS/Root (CODE:404|SIZE:232)
+ http://206.189.121.131:32058/_vti_bin/shtml.dll (CODE:404|SIZE:232)
+ http://206.189.121.131:32058/_vti_bin/_vti_adm/admin.dll (CODE:404|SIZE:232)
+ http://206.189.121.131:32058/_vti_bin/_vti_aut/author.dll (CODE:404|SIZE:232)
